Title,Posted Date,Rental Price,Number of bedrooms,Neighborhood,Description
04/15 - 04/20/19 - OCEANFRONT  CONDO ON SUGAR BEACH,2019-03-05,$150,1br,"KIHEI, MAUI","
        
WANT TO SPEND TIME IN THE WARMTH AND SUNSHINE OF MAUI RIGHT ON THE BEACH ON MAALAEA BAY?   Conveniently located in the island's sunniest town, Kihei in South Maui, just 20 minutes from the Kahului Airport, the old whaling town of Lahaina and popular Wailea. Our privately owned 1 bedroom, 2 bath condo (accommodates a maximum of 2 guests) is located on one of Maui's most beautiful white sand beaches, Sugar Beach, and is available from 04/15 - 04/20/19 for only $150.00 per night and cleaning fee of $145.00 plus Hawaii State Taxes!  The six mile beach is ideal for swimming, beachcombing, walking or jogging. Your fabulous views include the West Maui Mountains,  Maalaea Bay, the islands of Kahoolawe and Molokini, gorgeous Maui sunsets. Our condo features air conditioning, fully equipped and stocked kitchen, cable tv in living room and the bedroom, California King Bed and private lanai overlooking the ocean which is just feet away. Property features lounge chairs on lawn, oceanside pool, outdoor gas bbqs and free parking. Check us out at www.glensmauicondos.com (#304) for additional information and pictures or call  
 for available dates. 

Front Desk Registration fee is $26.00. Fully Refundable Security Deposit of $200.00



    "
"Lake Chelan - Wapato Point - 2 Bd, 2 Bth Upstairs Waterfront Condo",2019-03-05,$2200,2br,"Manson, Wa","
        
Newly Remodeled. Upstairs, Waterfront 2 Bedroom, 2 Bath. Has King bed master and Twin bed second, plus a hid-a-bed in Living room (sleeps 6-7).  Beach Association unit, arguably has the best unobstructed view of the group.  
Available July 18 - July 25.    
 Enjoy a summer getaway on stunning Lake Chelan. Beyond water sports, the area offers an abundance of activities. Including Golf, Wine Tasting, Mill Bay Casino, Slidewaters or riding the Lady of the Lake to witness the splendor of the Stehekin Valley. Or - just relax on the deck, or in the air conditioned comfort and enjoy the view. 
Unit has a fully equipped kitchen, fireplace (wood included), plus washer & dryer in the unit. This unit has sweeping unobstructed views of the lake, mountains and the small town of Manson with its surrounding orchards.
R.V. parking, boat docks, outdoor and indoor pools , hot tub, exercise facilities, lighted tennis courts, shuffle board and miniature golf are available, along with children's activities. Boating and other outdoor recreational rentals are also available. 
Wapato Point has 116 acres of meticulously groomed grounds and over 1 1/2 miles of waterfront with a multitude of recreation activities and buildings are excellently maintained. For more info go to: www.wapatopoint.com.    Sorry, no pets allowed, but animal boarding available in the area - and - units are all non smoking. • An advance deposit equal to 50% is required on the reservation within 14 days of booking. • A 30 day cancellation notice is required to receive a refund. • There's a $50 cancellation fee. Balance due 14 days prior to check in. 
Please Contact V.I.A. this ad or call J.C. at  
    "
"""Space travel - closest we can come without being astronauts!""",2019-03-05,$7750,None,out of Easter Island,"
        
Observe 8+ minutes total solar eclipse July 2, 2019 during airborne intercept at 41,000 feet altitude out left-side window of Boeing 787-9 Dreamliner chartered out of, and back to, Easter Island.

The daytime darkness will last more than 3 times longer than the U.S.A. eclipse of August 21, 2017!

One, two, or three persons can share cost of left-side seat row for the observation, looking out the left-side window.

Spectacular...stunning...cosmic perspective...watch moon's shadow overtake us over the ocean above the clouds, and envelope us...see the solar corona and prominences come into view and planets Mercury and Venus...we can't go to the moon but we can rendezvous with the moon's shadow!

Row with 1.0 window   $7,750.
Row with 1.6 windows $10,075.
Row with 2.0 windows $13,125.
Plus international airfare to get to Chile and Easter Island.

For details, Google ""Tim Todd eclipse 2019"".

Or see:

nicmosis.as.arizona.edu:8000/ECLIPSE_WEB/TSE2019/TSE2019_EFLIGHTMAX.html

www.teitim.ipage.com/Documents/Seats_current.pdf

nicmosis.as.arizona.edu:8000/ECLIPSE_WEB/TSE2019/LATAM-INSPECTION-SUMMARY-150dpi.pdf

We're now almost sold out but we do have a few rows remaining in the main cabin, and individual windows up front in business class.

TEI Tours in California - call  
 Monday-Friday or email tei[at]teiglobal.com.    "
"Fully furnished studio, 1, 2, 3 br @ Seattle, Daily, weekly, monthly",2019-03-05,$1895,3br,Seattle various locations & Bellevue,"
        
Hello,

We have the following furnished rentals available! Most are pet friendly:

- Downtown Bellevue:  Completely furnished Studio lofts and 1 bedroom with kitchenette. $2595/mo. to $2995/mo.   30 days minimum stay.  Located near Microsoft Downtown Bellevue and Expedia.   On buslines. Sorry, pets are not accepted.
* To inquire about this unit, please reply to this ad and mention Ad#: 69226
OR PLEASE GO TO THE WEBSITE NOW FOR PHOTOS AND MORE INFORMATION: 
http://www.apthunters.com/more_info.php?id=32



- Downtown Seattle: Completely furnished Studio with kitchenette. $2395/mo. to $2995/mo. 30 days minimum stay. Located across the Space Needle! On buslines. Sorry, pets are not accepted.
* To inquire about this unit, please reply to this ad and mention Ad#: 69132
OR PLEASE GO TO THE WEBSITE NOW FOR PHOTOS AND MORE INFORMATION: 
http://www.apthunters.com/more_info.php?id=9



- Seattle - (Queen Anne, West Seattle, Leschi, Fremont, Wallingford, Eastlake, Issaquah): Completely furnished 1, 2 and  3 bedrooms available from $1895/mo. $3995/mo. 30 days minimum stay. Full size kitchen. Economical to Luxury units available. Very convenient locations. Most pets are accepted.
* To inquire about this unit, please reply to this ad and mention Ad#: 69186
OR PLEASE GO TO THE WEBSITE NOW FOR PHOTOS AND MORE INFORMATION: 
http://www.apthunters.com/more_info.php?id=447


- Seattle - (Magnolia, Ballard, Greenwood, Crownhill): Completely furnished Studio, 1, 2 and  3 bedrooms available from $1895/mo. $3995/mo. 30 days minimum stay. Full size kitchen. Economical to Luxury units available. Very convenient locations.  Pets accepted on a case by case basis.
* To inquire about this unit, please reply to this ad and mention Ad#: 69609
OR PLEASE GO TO THE WEBSITE NOW FOR PHOTOS AND MORE INFORMATION: 
http://www.apthunters.com/more_info.php?id=1821

- We also offer discounted rates for Extended Stay America, all locations.  They are furnished studios with kitchen, and includes daily breakfast.  All utilities, cable, wifi internet and parking included.  Locations includes:  Seattle-Northgate, Lynnwood, Everett, Mukilteo, Bothell, Redmond, Bellevue, Renton, Tukwila, Renton, Kent, Federal Way, Tacoma and Olympia.  Pets are accepted.   If you want a quote sent to you, please specify the move in and move out date you want, number of adults and children, and the northernmost and southernmost area you would consider, and any preference.  If you have a price range in mind, please include that too. 



Thank you,

Apartment Hunters Seattle
http://www.apthunters.com    "
From $49/nt or $280/wk  at Tacoma Hosmer,2019-03-05,$49,None,Tacoma Hosmer,"
        
** Completely furnished studios with kitchen available @ Tacoma Hosmer!! Available ASAP ** 


Daily rate from $49/night. 7 days or longer rate from $280/week. Plus tax. 


Includes all utilities, internet wifi and parking! No credit check or application. Easy access to Hwy I-5, 16, 7 and hwy 512. Only 5 miles to Mcchord airforce base. On buslines. Sorry, pets not accepted (except service animals). However, we do have other properties that does accept pets - please inquire.
BED OPTIONS: 1 DOUBLE SIZE BED. ONE QUEEN SIZED BED - ADA ACCESSIBLE. 2 DOUBLE SIZE BEDS. 2 QUEEN SIZE BEDS.


If interested and want more information and quote based on your specific criteria, please provide the following info and mention Ad#: 201991:


1. Your target move in and move out date

2. Number of adults and children, and their ages if any

3. Any requirements/ pets?

4. Your preferred price range and absolute max

5. Would you consider other areas? If yes, what is the northernmost and southernmost area you would consider?


Thank you!

Apartment Hunters
Telephone #:  
 (M-F 12pm to 8pm PST)    "
Willapa Bay Beach House,2019-03-05,$175,3br,Westport,"
        
If you want spend some time next to the mighty Pacific Ocean, but you don't want swarms of tourists getting in your way, then this is the spot!

Just a quick half hour drive down the coast from Westport, you'll find the peace and serenity you've been waiting for. Empire spit is where the Pacific spills into Willapa Bay and the small town of Tokeland sits right there perched out from the highway.

When you step inside the house you'll see why this is such a gem. 
with newer appliances and furniture, this updated home will feel comfortable and relaxing. With our wooden stove available for use, you're sure to feel right at home. 

The living room has oversized windows which look out over the ocean, giving you the best unobstructed views of those waves you dream of all year. 

The huge flat screen TV will help keep you occupied in the evenings and a short walk down to the fishing boats is a great way to start the day. The serenity and low key atmosphere here will be a huge help getting you to refresh and relax.

Visit us at WillapaBayBeachHouse.com for more info and/or booking!

Rates from $175. Further, this offer is limited to the following dates: 03/08/19 -03/10/19; rate does not include one-time cleaning fee and tax.    "
One Bedroom Ocean Front Time Share - $850.00 -One Week,2019-03-05,$850,1br,"Puerto Vallarta, Mexico","
        
One Bedroom Ocean Front Time Share

Sheraton Buganvilias One Bedroom Jr. Suite Ocean Front Time Share available for 1 week, May 4-11, 2019
Centrally located just north of the town of Puerto Vallarta, easy walking distance. Call for different dates and more info

Two fabulous pools, one with a swim up bar, the other with a waterfall and Jacuzzi, Restaurants & Bars, Spa, Fitness and Tennis Courts. It has it all. The unit has fully equipped kitchen facilities, separate bedroom, plus sofa bed in living room. ( sleeps 4)

For full information about the Sheraton Buganvilias see http://buganviliasclub.com/

Contact Jake at  
. (EST) Please leave a message if you don't get me and I will return your call. 
Our preferred payment is PayPal.
    "
Author/Artists - beautiful cabin for weekly rental,2019-03-05,$400,280ft,Sequim,"
        
An amazing cabin in a magical garden like forest near Olympic National park - 15 min from downtown Sequim (little rain as LA). 

12x24 double loft, located in the forest which is like vortex of energy. you feel it right away. Artists, photographers, authors and mediators are welcome. Fire ring and ocean gazing are included. 
$400 a week, 



    "
2BR Wapato Point Beach Condo June 6-13 2019,2019-03-05,$1200,2br,None,"
        
Good week at Wapato Point at Lake Chelan.  This unit is a 2 bedroom/2 bath and can sleep up to 7 people.  It has a fully furnished kitchen, free Wi-fi and cable TV.  The unit is 592B  and it is an upper level unit (on the Manson side) with an amazing view of the lake and easy access to all the facilities.

This resort is amazing!  See  https://wapatopoint.com/

    "
Beautiful 5 Star NW Lincoln City Vacation Home - 5 Blocks from Beach,2019-03-05,$135,3br,"NW Lincoln City, OR","
        
Wecoma Beach Cottage...

***Whale watching has begun on the coast! And Newport, Oregon Seafood and Wine Festival is February 21-24th. BOOK NOW! 

This home was recently featured on ThriftyNorthWestMom.com and was given a 5 star review. To see the full article please visit: https://www.thriftynorthwestmom.com/rent-a-beach-house-in-lincoln-city-perfect-getaway-for-families/

OREGON COAST MOMENT OF ZEN: https://www.youtube.com/watch?v=JEOP9YgUAGg

-----
Enjoy old-world splendor in this European-style beauty in NW Lincoln City! Just blocks from the ocean, fine dining, coffee shops, outlet mall and groceries, this lovely home puts you close to the casino and miles of uninterrupted beach. 

Ocean views from large, second-floor living room windows and a gorgeous, updated chef's kitchen will impress your guests. The gas fireplace and large flat-screen TV upstairs give you an elegant, cozy place to gather and relax. A large dining table, delightful bar for four and the fantastic array of entertainment options include wifi, cable, DVD, Blu-ray, Netflix streaming, satellite TV, a Bose sound system, DVD library, board games, books and even an iPod dock for all your entertainment needs! A king master suite off the living room includes a jetted bath tub in a beautifully appointed spa-like bath.

Downstairs, the kids will be thrilled by charming bunk beds, children books and board games. Guests will also enjoy the beautiful queen sleigh bed in the second bedroom on first floor/entry level. A sitting room with comfortable couches and TV/DVD provides a separate place to gather. There's even a specially designated/gated pampered pet area for your dog!

For comfort, entertainment and convenience, Wecoma Beach Cottage is an excellent choice for a relaxing stay at the beach. Imagine retreating to this charming home after a day exploring the coast with a glass of wine and a delightful meal. This is your ultimate home-away-from-home for your retreats to the beach!

***This home is owned by the same owners as Cedar Cove Lodge in Sunriver - where 5 star guest service can always be expected. https://www.meredithlodging.com/vacation-rentals/cedar-cove-lodge

**This home is pet friendly under the condition that pets remain in the two provided gated pet designated areas to respect ALL guests. Two dogs maximum at all times.

**Wecoma Beach Cottage is the perfect home for family and friends to gather in a quiet, clean, comfortable atmosphere. It is not intended or designed for large celebrations or partying. Owners of this home as well as neighbors expect respectful guests.


PROPERTY DETAILS:

FIRST FLOOR, ENTRY LEVEL:
Bedroom 1: Twin Over Full Bunkbed, 1 twin bed and 1 twin trundle bed
Bedroom 2: Queen Bed
Bonus Room: TV/DVD
Hallway: One Full Bathroom
Other: Laundry Room and Indoor Pet Designated Area with Pet Gates

SECOND FLOOR:
Kitchen
Living Room, Dining Room
Bedroom 3: One King Bed, One Full Bathroom, Jetted Bath Tub

LOWER LEVEL:
Garage: 2nd Pet Designated Area with Large Kennel

LOCATION:
10 min walk to Chinook Winds Casino
10 min drive to Lincoln City outlet mall
15 min Salishan Golf Resort
30 min Spirit Mountain Casino
45 min drive to Oregon Coast Aquarium
60 min drive to Wine Country
60 min drive to Evergreen Aviation & Space Museum - McMinnville

*LOCAL EVENTS:
https://lincolncityhomepage.com/lincoln-city-events/
https://www.oregoncoast.org/lincoln-city-calendar/
https://www.chinookwindscasino.com/upcoming-entertainment/
https://www.spiritmountain.com/events

https://traveloregon.com

Oregon Coast Aquarium:
https://aquarium.org    "
"SUNCADIA 1 BEDROOM SUITE, SLEEPS 4",2019-03-05,,1br,Cle Elum- Suncadia,"
        
To secure a reservation, go to www.vrbo.com and type 729463 into the destination/listing # box.  
           
You can check availability and rates, terms, and conditions and instantly book your stay!

For any additional details or questions feel free to call or text  
 

Renting this condo through the owners directly, versus the resort, can save you on average, $100 a night.  
The friendly staff at the front desk will check you in, take your bags and valet park your car free of charge. You have access to free resort transportation, concierge service, and onsite bar and restaurant. The outdoor pool and hot tub at the lodge overlook the Cle Elum River. Guests of this unit have full (seasonal) access to this pool.  The hot tub is typically open year around.
THE FITNESS CENTER AND THE INDOOR POOL ARE NOT AVAILABLE WHEN RENTING THIS PRIVATELY OWNED UNIT.
 
This one bedroom unit features a fully stocked granite counter-top kitchen, upgraded amenities, a spacious main bedroom with a King size bed and beautiful bathroom with a soaking tub and glass enclosed shower.  The unit features an open floor plan with sliding doors leading to a balcony that lets in tons of light.  There is also a queen size sleeper sofa in the main living space.   
There is easy access to the elevators, restaurant, bar, coffee shop, pool and hot tub.
This unit is on the resort side of the lodge. 

While this unit is perfectly suited to cooking in, there are many dining options including room service to make sure you don't have to cook a thing if you don't want to. 

The lodge itself operates a coffee shop, Portals Restaurant and the 56 Degree Lounge. Still inside the resort, a stop by Swiftwater Winery for tastings or a meal at The Hoist House Restaurant is a must during your stay. Outside the resort, the towns of Cle Elum and Roslyn are a short drive away and provide tons of dining and shopping options. 

The 6,000 acre resort contains two award winning golf courses, a luxury Spa, seasonal boating and ice skating, the recently completed 1,000 Steps from the lodge to the river, several parks, tennis and basketball courts and miles of paved biking trails . 

Suncadia adjoins over 1,200 pristine acres along the Cle Elum River Valley set aside for family vacation activities which include horseback riding, fly fishing, rafting, kayaking, rock climbing, mountain biking and bird watching. The immediate area contains the 2.2 million acre Wenatchee National Forest for downhill skiing, snowboarding, hiking and snowmobiling. 

    "
"OCEAN FRONT~ HotTub, Pet Friendly, King bed, wifi",2019-03-05,,2br,Bella Beach - call we are OPEN 9 am-10 pm,"
        
HOUSE NAME:  Glimmering Sands 

How do I find out more information? Go to web site www.bellabeachrentals.com then call  
, we offer up to date calendars, photos and pricing!

Location: Bella Beach 
Ocean Front, Large Hot Tub and Pet-Friendly 

Ocean front in exclusive Bella Beach, at Glimmering Sands you can relax on your private deck while enjoying the amazing Pacific Ocean...just steps to a 7 mile stretch of sandy shoreline. 
Warm woods, muted pastels, white-framed doors and windows create a charming, relaxed atmosphere. You will find everything you need to make your stay comfortable....

Rent : Winter: $175 per night, Spring/Fall: $195 per night, Summer: $250 per night, Independence Day: 375/night, plus tax and cleaning fee.


For Rental Details:
Accommodates 6 - http://bellabeachrentals.com/vacation-rentals/glimmering-sands/
    "
OCEAN VIEWS~OPEN Spring Break~3 B 3.5 Bath-Sleeps 9-HotTub Pet Friendl,2019-03-05,,3br,Bella Beach-OPEN 9am-10pm call,"
        
HOUSE NAME: Safe Harbor 

How do I find out more information? Go to web site: http://bellabeachrentals.com/ then call  
, we offer up to date calendars, photos and pricing!

Location: Bella Beach
Ocean View, Hot Tub, Pet-Friendly Home

Anchor your ship at Safe Harbor, the port of rest and relaxation. This beautifully decorated townhome offers three bedrooms and three and one half baths, multiple decks and a great ocean view from the top floor master.

Pricing : Winter: $165 per night, Fall: $185 per night, Summer: $235 per night.  Independence Day: 355 per night, plus tax/fees and cleaning fee.

Accommodates 9 - http://bellabeachrentals.com/vacation-rentals/safe-harbor/

►►► Visit http://www.bellabeachrentals.com THEN CALL FOR MORE INFORMATION  

Lincoln City and Depoe Bay Chamber Member - reserve a home with a reputable company.
    "
Luxury Furnishings~Sleeps 9-11 - King Beds HotTub-Luxury Furnishings,2019-03-05,,4br,Bella Beach call  9 am - 10 pm,"
        
HOUSE NAME: Sea Haven 

How do I find out more information? Go to web site (http://www.bellabeachrentals.com) then call  
, we offer up to date calendars, photos and pricing. 

Come visit the magnificent Oregon Coast today. 

Bella Beach Vacation Rentals offers the most beautifully, well-maintained vacation rental homes available on the Oregon Coast. Select from Nantucket-style family cottages in the Bella Beach community to Roads End craftsman and Lincoln City Siletz Bay front, the choice is yours. . . 





Location: Bella Beach, King Beds, Pet-Free, Private Fenced Hot Tub Area and Large Wrap-Around Front Porch 

The newest vacation rental cottage in Bella Beach. Luxury furnishings throughout, master suite with king bed, designer cooks kitchen, 5 flat screen TV's...nothing spared in this luxury cottage. 

Rent : Winter: $195/$220 per night, Spring/Fall: $225/$250 per night, Summer $270/$295 per night, Independence Day: $420/445 per night, plus tax/fees and cleaning fee.

How do I find out more information? Go to web site then call  
, we offer up to date calendars, photos and pricing.


For rental details call  
 and visit web site. 
Accommodates 9 - http://bellabeachrentals.com/vacation-rentals/sea-haven/   
Accommodates 11 - http://bellabeachrentals.com/vacation-rentals/sea-haven-and-loft/   



►►► GO TO http://www.bellabeachrentals.com THEN CALL FOR MORE INFORMATION  
 Lincoln City and Depoe Bay Chamber Member - reserve a home with a reputable company.
    "
Snowater Condo #28 -Ground floor Condo,2019-03-05,,1br,"Glacier, WA","
        
This is a tastefully decorated ground floor condo with 1-bedroom and 1-full bath. Features include an open living/dining area with a hide-a-bed, a gas fireplace, a small deck overlooking the well maintained grounds, a fully equipped kitchen, 1-full bath, one bedroom with 1-queen bed, and a laundry cubby with a stack washer/dryer. This vacation property will sleep 4-persons.

Thank you for taking a look at us. We appreciate you stopping by. 

For Inquiry, Rates, Availability, and Bookings Please reply via email to:
http://rentalo.com/7919/glacier-washington-0-100.html?entry=1002539

Note: Please do not reply this ads via Craigslist

Contact by email and provide your phone number we will contact you right away:
Office hours: 9am-7pm EST Mon-Fri
Contact email: NatalieSanderson222 gmail com
Contact by phone in the number above    "
"Endless Views~Sleeps 16, Great for Couples~HotTub, Pet-Friendly",2019-03-05,,5br,OPEN this week~Head to the Bella Beach - call we are OPEN,"
        
HOUSE NAME: Pirate's Paradise 

How do I find out more information? Go to web site (http://www.bellabeachrentals.com) then call  
, we offer up to date calendars, photos and pricing. We are available to assist in your vacation plans from 9 am - 10 pm. 

Come visit the magnificent Oregon Coast today. 

Bella Beach Vacation Rentals (http://www.bellabeachrentals.com) offers the most beautifully, well-maintained vacation rental homes available on the Oregon Coast. Select from Nantucket-style family cottages in the Bella Beach community to Roads End craftsman and Lincoln City Siletz Bay front, the choice is yours. . . 

Location: Bella Beach Ocean Views, Hot Tub, Pet-Friendly Home 

It's all about family at Pirates Paradise! The amazing large family vacation home offers endless views of the magnificent Pacific Ocean. 

Rent : Winter: $395 per night, Spring/Fall: $450 per night, Summer: $625 per night, Independence Day: $925/night, plus tax and cleaning fee. 

How do I find out more information? Go to web site then call  
, we offer up to date calendars, photos and pricing!

Accommodates 16 - http://bellabeachrentals.com/vacation-rentals/pirates-paradise/ 

►►► GO TO http://www.bellabeachrentals.com THEN CALL FOR MORE INFORMATION  
 Lincoln City and Depoe Bay Chamber Member - reserve a home with a reputable company.
    "
Furnished Charming English Tudor Apartment,2019-03-05,$2275,1br,Seattle,"
        
to view this furnished charming English Tudor

Call  


Weekends 3:30-5:30pm
weekdays 4-6p 
Appointment Necessary
Sub- lease inquiries 
Flexible sublease options
3 month, 6 month,  9 month, 12 month
 One furnished unit available Today

appointment necessary, call for showing or email reply with name, phone number and date and time preference for viewing. Full sized furnished apartment Unit.
Queen bed, livingroom sofa, dining nook table and chairs, kitchen essentials including pots, plates, pans and utensils.  Full kitchen
Prices and availability are subject to change.

This one story charming English Tudor Apartment building has great style. The courtyard in the rear of the building provides for a relaxing setting. This courtyard apartment has a private entry and it's own mailing address. Oak hardwood floors and coved ceilings give the building all of it's vintage appeal. The bedroom closet, linen closet, and walk in closet provide ample space for just about everything. A dining nook that accomodates a 2-3 person breakfast table and kitchen with plenty of counter and cupboard space make this apartment a must see! This apartment has great style. .
Classic English Tudor style. 
Walking distance to the University of Washington, restaurants, grocery store, and coffee shops. Conveniently located near Downtown. On main bus route between University District and Downtown Seattle (routes: 70,71, 72, 73,83, 25, 66, 988, 49). Nearby Burke-Gilman Trail provides great bicycle, rollerblade, longboard and walking or jogging access throughout the Greater Seattle Metropolitan area for both recreation and commuting.

Apartment Available Today. 
Deposit equivalent to one months rent. No smoking. A pet addendum with $250 nonrefundable pet fee is required per pet. Limit 2 pets.

Pre-lease inquiries:
 appointment necessary
Call for Scheduling
 Showing open house no appointment necessary
Weekends 3:30-5:30pm 
weekdays daily 4-6pm
 
reply with name, phone number and preference for date and time  for viewing this charming full sized apartment. Prices and availability are subject to change.


RENTAL FEATURES
________________________________________
 
 Walk-in closet
 Hardwood floor

 Living room
 Breakfast nook
 Refrigerator

 Stove/Oven
 Balcony, Deck, or Patio
 Cable-ready



COMMUNITY FEATURES
________________________________________
 Laundry on-site
 Storage space(s)
 Small building

 Vintage building
 	 

    "
"BEACH FRONT CHARMING CABIN #3 Private beach  with shells, relaxing",2019-03-05,$100,None,"Ocean Shores, Washington, Ocean Front, W","
        
ROMANTIC BEACH FRONT VACATION RENTAL CABINS in Ocean Shores, WA. Gateway to the Olympic Peninsula and well known bird watching beach.   SPECTACULAR PRIVATE  SANDY OCEAN BEACH FILLED WITH SHELLS, DRIFTWOOD AND AGATES. 
Relax and get away at SNUGGLERS COVE RESORT. 

 CALL or TEXT Direct and SAVE   
 Maria 

 Private Beach front Cabin with wonderful BEACH FRONT views with your own private path to the beach approx. 150 away . These stand alone comfortably furnished Cottage/Cabins have a fireplace and fully equipped kitchen and large full Bathroom with tub/shower combo. Come take a walk on the beach while your dinner simmers on the stove. Relax by the fireplace after a long soak in the tub. The views are amazing and the wildlife are abundant. See deer's, shore birds, eagles and falcons from the comfort of your living rom and kitchen. Great Bird Watching.  
Cabins are studios with wonderful views from almost every window. Relax and take in all the beauty.
Private Path to the beach only steps away.  Located on the mouth of Grays Harbor where the Pacific Ocean meats the bay.
We offer 4 cabins with the same layout.  If Cabin #3 is not available we will book you into one of the four charming beach front cabins. 
Fully equipped kitchen with dishwasher ( we supply paper towels, kitchen linen, dish soaps )
Our Door Grill
Fireplace
Private Beach front Deck
Free Wifi
Queen Bed
Fold out single bed or air bed
Full Bathroom with bath towels, soap, shampoo, conditioner, hair dryer, tub/ shower combo
Flat screen T.V. with satellite connection
Private path to the beach only steps away

RATES START AT $100-$195 PER NIGHT.  RATES DEPEND ON THE NUMBER OF PEOPLE AND NUMBER OF NIGHTS.  $50 CLEAN FEE MAY APPLY. 
WONDERFUL BEACH VIEWS....RELAXING, PRIVATE BEACH    "
"Spacious Beach Front with Amazing Views 2 bdr,2 full bathrms",2019-03-05,$250,2br,"Ocean Shores, Washington","
        
BOOK DIRECT AND SAVE: Call or Text  

  Let us know your dates, number of guests and any pets.
We will quote you a price. 

Snugglers Cove Resort Beach Front  Vacation rentals in Ocean Shores, WA.   
 )    Our Beach Front Eagles Nest two bedroom, two bathroom, spacious living room with wonderful views is built right on the sandy beach where the Pacific Ocean meets Grays Harbor is a great relaxing get-away.   It is the upper level of our beach front house at Snugglers Cove Resort  in Ocean Shores, Washington.  We also offer FOUR private beach front vacation rental smaller CABINS/COTTAGES  built  on a sandy private beach front only steps to the ocean. We are offering our  EAGLES NEST VACATION RENTAL  with the most fantastic views both day and night, for a low price starting at $150.00.    This spacious 1,200 sq. ft. vacation rental with large beach front deck   offers SPECTACULA VIEWS and treasure filled beaches. (Cars are not allowed on the beach)  Enjoy beach front so close you don't have to even leave the privacy of your spacious living room or large beach front deck.  This great ocean front vacation rental offers spectacular views of the sunken jetty where pelicans, seagulls and over 200 sepecies of birds come to rest. The living room, kitchen and dining area offer the ultimate ocean front views to watch the crab boats enter into the harbor with their fresh crab, see the night lights of Westport shimmer back at night while you grill your favorite food on the large beach front deck.  The master bedroom has a king bed, and a full bathroom with double sinks.  The second bedroom has a queen bed and a second bathroom with large sit down shower in the hall.  The Eagles Nest has a private side entry plus a private path to the beach and large deck.  Snugglers Cove Resort Eagles Nest Condo plus our four beach Front vacation  Cabins have the BEACH FRONT AT YOUR DOOR STEP!   It is TRUE BEACH FRONT VACATION RENTALS.  Our Beach Front vacation Cabins along with our beach front Condo are fully furnished.  Check out our resort at WWW.SNUGGLERSCOVERESORT.COM.   PICTURES SHOWN BELOW ARE OF THE EAGLES NEST CONDO.  wifi available along with a washer and dryer. 
Rates  $150-$300 per night.  Clean Fee of $75 may apply.



CONDO:   (two bedroom, two bathroom, 1,200 sq. ft.) Prices Start at  $150-$300 per night plus tax.  Rates depend on the number of people and length of stay. Clean Fee of $75 may apply.  We offer discounts for extended stays.  Please call to get price quote. Call  
 for reservation details.   
   HOLIDAYS PRICES MAY DIFFER.     www.snugglerscoveresort.com  Click beach house. 

CABINS ON THE BEACH..Rates start at $150.00 per night.  Rates depend on number of days and number of people. Clean fee of $75 may apply.      Holidays  not included in this special.    
All deposits are non-refundable.  

    "
